,County,State,ImmCountRounded,Origin,OriginTooltip,CountyPercentbyOrigin,ImmCount,TotalImmPopRounded,TotalImm
16,"Fulton County, Georgia",Georgia,16100,Europe,Europe,0.003371436,16061,4763800,4763845
17,"Fulton County, Georgia",Georgia,1100,France,France,0.005838483,1060,181600,181554
18,"Fulton County, Georgia",Georgia,2000,Germany,Germany,0.003554807,1992,560400,560368
19,"Fulton County, Georgia",Georgia,1400,Ghana,Ghana,0.007758369,1384,178400,178388
20,"Fulton County, Georgia",Georgia,1200,Haiti,Haiti,0.0017364029999999999,1168,672700,672655
21,"Fulton County, Georgia",Georgia,27100,India,India,0.010581183999999999,27108,2561900,2561906
22,"Fulton County, Georgia",Georgia,2000,Iran,Iran,0.005271281,2015,382300,382260
23,"Fulton County, Georgia",Georgia,1500,Iraq,Iraq,0.006714421999999999,1511,225000,225038
24,"Fulton County, Georgia",Georgia,1500,Israel,Israel,0.010694911000000001,1451,135700,135672
25,"Fulton County, Georgia",Georgia,4100,Jamaica,Jamaica,0.005513997,4088,741400,741386
26,"Fulton County, Georgia",Georgia,1100,Japan,Japan,0.0032189840000000003,1111,345100,345140
27,"Fulton County, Georgia",Georgia,5400,Korea,Korea,0.005133855,5363,1044600,1044634
28,"Fulton County, Georgia",Georgia,41900,Latin America,Latin America,0.00188032,41859,22261600,22261633
29,"Fulton County, Georgia",Georgia,5000,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,0.004388192,5039,1148300,1148309
30,"Fulton County, Georgia",Georgia,19100,Mexico,Mexico,0.00169343,19052,11250500,11250541
31,"Fulton County, Georgia",Georgia,2600,Nigeria,Nigeria,0.007474191,2618,350300,350272
32,"Fulton County, Georgia",Georgia,1400,Northern Africa,Northern Africa,0.0039633540000000005,1438,362800,362824
33,"Fulton County, Georgia",Georgia,3500,Northern America,Northern America,0.00432901,3534,816400,816353
